Point Number,Latitude,Longitude
1,37.2888896,127.106944
2,37.288888,127.1069568
3,37.28888,127.1069824
4,37.2888704,127.107008
5,37.2888704,127.1070208
6,37.2888768,127.10704
7,37.2888864,127.1070592
8,37.2888992,127.107072
9,37.2889152,127.1070784
10,37.288928,127.1070976
11,37.288944,127.107104
12,37.2889536,127.1071296
13,37.2889552,127.1071488
14,37.2889488,127.107168
15,37.288944,127.1071936
16,37.2889376,127.1072128
17,37.2889312,127.1072448
18,37.2889248,127.107264
19,37.2889168,127.1072896
