Point Number,Latitude,Longitude
1,37.2885808,127.106944
2,37.2885888,127.106944
3,37.2886064,127.1069504
4,37.2886256,127.1069504
5,37.28864,127.106944
6,37.2886592,127.1069376
7,37.288672,127.1069248
8,37.28868,127.1068992
9,37.2886848,127.1068736
10,37.28868,127.106848
11,37.2886752,127.1068288
12,37.288672,127.1068032
13,37.288672,127.1067776
14,37.28868,127.1067584
15,37.2886928,127.1067456
16,37.2887072,127.1067264
17,37.2887264,127.10672
18,37.2887456,127.1067136
19,37.2887648,127.10672
20,37.2887808,127.1067264
